0,1,2,3,4,5,6,7,8,9,10,11,12
Easy Tiger,Time: 12:00 PM to 01:00 AM ,['Finger Food'],"Dineout Pay, Nightlife","1,500 for two people","Beer, Burgers, Chilli Chicken, Cocktails, Fries, Beef Steak, Chicken Sandwich, Liit, Sex on The Beach, Hot Toddy, Tequila Sunrise, Daiquiri, The Jack Sparrow","['Smoking Area', 'Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted']",278 Votes,19 Reviews,4.3,,,
Alchemy,Time: 11:00 AM to 01:00 AM ,"['Modern Indian', 'Seafood']","5 Star, Dineout Pay, Bar","2,700 for two people","Wheat Beer, Stout Beer, Cheese Kofta, Mysore Pak","['Smoking Area', 'Lift', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Roof Top', 'Live Screening', 'Wallet Accepted']",96 Votes,11 Reviews,4,,,
Boteco Restaurante Brasileiro,Time: 12:00 PM to 01:00 AM ,"['American', 'European']","Dineout Pay, Casual Dining","1,500 for two people",,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,4.8,,,
Stories Brewery and Kitchen,Time: 12:00 PM to 01:00 AM ,"['Continental', 'Italian', 'Chinese', 'North Indian']","Dineout Pay, Nightlife","2,000 for two people","French Fries, Chicken Power Combo, Tandoori Kumb, Classic French Fries, Chilli Basil Fish.","['Smoking Area', 'DJ', 'Lift', 'Wifi', 'Valet Available', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Pet Friendly', 'Hookah', 'Karaoke', 'Outdoor Seating', 'Roof Top', 'Live Screening', 'Wallet Accepted']",1031 Votes,142 Reviews,4.3,,,
Cantan - Chinese Bar House,Time: 12:00 PM to 11:00 PM ,"['Chinese', 'Cantonese']","Dineout Pay, Nightlife","1,800 for two people","Dumplings, Cheesecake, Peking Duck, Calamari, Noodle Soup, Fish, Cocktails.","['Smoking Area', 'Air Conditioned', 'Lift', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available', 'Live Screening']",70 Votes,5 Reviews,4.6,,,
The Merak Brewhouse,Time: 01:00 PM to 11:30 PM ,"['Finger Food', 'Continental']","5 Star, Dineout Pay, Casual Dining","2,000 for two people","Chiu Chow Chicken Dimsum, Bejing Crystal Dimsums, Naga Chilly Mushroom, Lotus Stem, Namjim Chicken and Masaman Curry.","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Poolside']",28 Votes,5 Reviews,3.9,,,
The Fatty Bao,Time: 12:00 PM to 11:00 PM ,"['Asian', 'Chinese']","Dineout Pay, Casual Dining","2,000 for two people",,"['Air Conditioned', 'Serves Alcohol', 'Cards Accepted', 'Wallet Accepted']",,,4.6,,,
Toscano,Time: 12:00 PM to 11:00 PM ,['Italian'],"Dineout Pay, Casual Dining","1,600 for two people","Goat Cheese Salad, Pizza Margherita, Pepperoni Pizza, Spaghetti Aglio Olio, Tiramisu","['Air Conditioned', 'Lift', 'Wifi', 'Serves Alcohol', 'Cards Accepted', 'Wallet Accepted']",,,4.4,,,
Alba,Time:  (Opens at 07:00 PM)Sunday07:00 PM to 10:00 PMMonday07:00 PM to 10:00 PMTuesday07:00 PM to 10:00 PMWednesday07:00 PM to 10:00 PMThursday07:00 PM to 10:00 PMFriday07:00 PM to 10:00 PMSaturday07:00 PM to 10:00 PM,"['European', 'Italian']","5 Star, Fine Dining, Dineout Pay","4,000 for two people","Alba Salad, Butternut Squash, Arancini Risotto, Squid Ink Ristto, Fregola Contadina, Local Scampi Fagottini, Funghi, Pineapple Ham, Fondant Scamorza, Evoo Poached Sea Bass, New Zelan Lamb Shank, Rubiks Cube Platter, Chocolate Cigar, Tiramisu.","['Smoking Area', 'Air Conditioned', 'Lift', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Outdoor Seating', 'Private Dining Available']",150 Votes,20 Reviews,4.4,,,
Tree Tops Bar And Kitchen,Time: 11:00 AM to 12:30 AM ,"['North Indian', 'Continental', 'Mughlai']","Dineout Pay, Casual Dining","1,100 for two people",,"['Smoking Area', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Outdoor Seating', 'Roof Top']",31 Votes,4 Reviews,4.2,,,
Ozaa - Mediterranean Grills,Time: 12:00 PM to 11:00 PM ,['Mediterranean'],"Dineout Pay, Casual Dining","2,500 for two people","Adana Kebab, Joojeh Kabab, Muhammara, Balik Ekmek, Iranian Tea.","['Smoking Area', 'Air Conditioned', 'Wifi', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Poolside', 'Roof Top']",3 Votes,1 Reviews,4.4,,,
Coastal Machali Co,Time:  (Opens at 07:00 PM)Sunday11:30 AM to 03:30 PMSunday07:00 PM to 11:30 PMMonday11:30 AM to 03:30 PMMonday07:00 PM to 11:30 PMTuesday11:30 AM to 03:30 PMTuesday07:00 PM to 11:30 PMWednesday11:30 AM to 03:30 PMWednesday07:00 PM to 11:30 PMThursday11:30 AM to 03:30 PMThursday07:00 PM to 11:30 PMFriday11:30 AM to 03:30 PMFriday07:00 PM to 11:30 PMSaturday11:30 AM to 03:30 PMSaturday07:00 PM to 11:30 PM,"['Chinese', 'North Indian', 'South Indian', 'Mangalorean', 'Asian', 'Seafood']","Dineout Pay, Casual Dining","1,300 for two people",,"['Air Conditioned', 'Parking', 'Cards Accepted', 'Wallet Accepted']",51 Votes,18 Reviews,4.4,,,
Oh! Calcutta,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:30 PMSunday07:00 PM to 11:00 PMMonday12:00 PM to 03:30 PMMonday07:00 PM to 11:00 PMTuesday12:00 PM to 03:30 PMTuesday07:00 PM to 11:00 PMWednesday12:00 PM to 03:30 PMWednesday07:00 PM to 11:00 PMThursday12:00 PM to 03:30 PMThursday07:00 PM to 11:00 PMFriday12:00 PM to 03:30 PMFriday07:00 PM to 11:00 PMSaturday12:00 PM to 03:30 PMSaturday07:00 PM to 11:00 PM,['Bengali'],"Dineout Pay, Casual Dining","1,000 for two people","Fish, Luchi, Kosha Mangsho, Sea Food, Daab Chingri, Railway Mutton Curry, Crab Meat, Kosha Mangsho, Sea Food, Daab Chingri.","['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",277 Votes,45 Reviews,4.3,,,
21st Amendment Gastrobar,Time: 12:00 PM to 12:00 AM ,"['North Indian', 'Continental', 'Chinese', 'Fast Food']","Dineout Pay, Casual Dining","1,500 for two people","Hot Sour Soup, Cheesy Mushroom Caps, Paneer Gattari.","['Smoking Area', 'Lift', 'Wifi', 'Valet Available', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Hookah', 'Outdoor Seating', 'Roof Top', 'Live Screening', 'Wallet Accepted']",46 Votes,5 Reviews,4.1,,,
Kudla,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:30 PMSunday07:00 PM to 11:30 PMMonday12:00 PM to 03:30 PMMonday07:00 PM to 11:30 PMTuesday12:00 PM to 03:30 PMTuesday07:00 PM to 11:30 PMWednesday12:00 PM to 03:30 PMWednesday07:00 PM to 11:30 PMThursday12:00 PM to 03:30 PMThursday07:00 PM to 11:30 PMFriday12:00 PM to 03:30 PMFriday07:00 PM to 11:30 PMSaturday12:00 PM to 03:30 PMSaturday07:00 PM to 11:30 PM,"['Chinese', 'Seafood', 'Andhra']","Dineout Pay, Casual Dining","1,200 for two people","Neer Dosa, Fish, Murgh Ghee Roast, Chicken Sukha, Crab Masala, Appam, Chicken Biryani.","['Air Conditioned', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",61 Votes,7 Reviews,4.5,,,
LifeTree (Inspired Vegetarian Cuisine),Time: 07:00 AM to 11:00 PM ,"['North Indian', 'Continental', 'Fast Food']","Dineout Pay, Casual Dining","1,500 for two people",,"['Smoking Area', 'Air Conditioned', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Poolside', 'Wallet Accepted']",90 Votes,11 Reviews,4.3,,,
KA 01,Time: 03:00 PM to 12:00 AM ,"['North Indian', 'Modern Indian']","Dineout Pay, Casual Dining","1,400 for two people","Dal Makhani, Channa Jor Garam, Dessert Platters, Prawn Thokku, Paratha, Butter Wala Chicken, Ghee Roast Arbi, Irani Seekh Kebab, Jimikand ki Tikki, Naga Tangdi Kebab, Prawn Tokku","['Air Conditioned', 'Wifi', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Live Screening']",362 Votes,73 Reviews,4.1,,,
Zed The Baker,Time: 09:00 AM to 11:00 PM ,"['Fast Food', 'Desserts', 'Beverages']","Cafe, Dineout Pay, Bakery",400 for two people,,"['Air Conditioned', 'Wifi', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",,,4.6,,,
The Village - Bangalore,Time: 11:00 AM to 12:00 AM ,['Fast Food'],Casual Dining,200 for two people,,['Wallet Accepted'],1 Votes,No Reviews,4.2,,,
