Name,EMI,Price,Mileage,ENGINE,TRANSMISSION,FUEL TYPE,Price range,Length (mm),Wheelbase (mm),Boot Space (L),Width (mm),Turning Radius (m),Fuel Capacity (L),Height (mm),Ground Clearance (mm),Colors,Seating Capacity,Displacement (cc),Peak Power,Peak Torque,Color Varients,Top_Speed
MG Gloster,"50,959",29.98 Lakh,15 kmpl ,1996 cc ,Automatic ,Diesel ,₹ 29.98 - 36.08 Lakh ,4985,2950, - ,1926, - ,75,1867, - ," Agate Red, Metal Ash, Metal Black, Warm White ",6,1996, 215 BHP@4000 RPM,480 NM @1500 RPM,8,177 km/h
Honda Amaze,"10,580",6.24 Lakh,17 - 25 kmpl ,1199 to 1498 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 6.24 - 9.99 Lakh ,3995,2470,420,1695,4.7,35,1498,170," Golden Brown Metallic, Lunar Silver Metallic, Modern Steel Metallic, Radiant Red, White ",5,1199, 89 BHP@6000 RPM,110 NM @4800 RPM,12,160 km/h
Honda Jazz,"12,839",7.63 Lakh,16 kmpl ,1199 cc ,"Manual, Automatic ",Petrol ,₹ 7.63 - 9.87 Lakh ,3989,2530,354,1694,5.1,40,1544, - ," Golden Brown, Lunar Silver, Modern Steel , Platinum White, Radiant Red ",5,1199, 89 BHP@6000 RPM,110 NM @4800 RPM,11,172 km/h
Honda WR-V,"14,657",8.7 Lakh,16 - 24 kmpl ,1199 to 1498 cc ,Manual ,"Petrol, Diesel ",₹ 8.7 - 11.11 Lakh ,3999,1087,363,1734,5.3,40,1601,188," Golden Brown, Lunar Silver, Modern Steel, Platinum White Pearl, Premium Amber, Radiant Red ",5,1498, 98 BHP@3600 RPM,200 NM @1750 RPM,13,140 km/h
Honda City,"14,907",9.3 Lakh,17 kmpl ,1497 cc ,Manual ,Petrol ,₹ 9.3 - 10 Lakh ,4440,2600,510,1695,5.3,40,1495,165," Golden Brown, Lunar Silver, Modern Steel, Radiant Red , White Orchid Pearl ",5,1497, 117 BHP@6600 RPM,145 NM @4600 RPM,12,175km/h
Honda All New City,"18,697",11.02 Lakh,18 - 24 kmpl ,1498 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 11.02 - 14.95 Lakh ,4549,2600,506,1748,5.3,40,1489,165," Golden Brown, Lunar Silver, Modern Steel, Platinum White Pearl, Radiant Red ",5,1498, 119 BHP@6600 RPM,145 NM @4300 RPM,11,175km/h
Jeep Compass,"28,879",16.99 Lakh,14 - 17 kmpl ,1368 to 1956 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 16.99 - 28.29 Lakh ,4405,2636, - ,1818,5.7,60,1640, - ," Bright White, Brilliant Black, Exotica Red, Galaxy Blue, Grigio Magnesio Grey, Minimal Grey, Techno Green ",5,1368, 160 BHP@5500 RPM,250 NM @2500 RPM,15,161 km/h
Jeep Wrangler,"91,618",53.9 Lakh,10 kmpl ,1998 cc ,Automatic ,Petrol ,₹ 53.9 - 57.9 Lakh ,4882,3008,897,1894, - ,81,1848,217," Black, Bright White, Firecracker Red, Granite Crystal, Sting Grey ",5,1998, 268 BHP@5150 RPM,400 NM @3000 RPM,9,180 km/h
Kia Sonet,"11,542",6.79 Lakh,18 - 24 kmpl ,998 to 1493 cc ,"Manual, Semi - Automatic, Automatic ","Petrol, Diesel ",₹ 6.79 - 13.19 Lakh ,3995,2500,392,1790,5.1,45,1647, - ," Aurora Black Pearl, Beige Gold, BeigeGold/ Black, Glacier White Pearl	, Gravity Grey, Intelligency Blue, Intense Red	, Red/Black	, Steel Silver, White Pearl/Black	 ",5,998, 118 BHP@6000 RPM,172 NM @1500 RPM,24,182 km/h
Kia Seltos,"16,811",9.89 Lakh,16 - 20 kmpl ,1353 to 1497 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 9.89 - 17.65 Lakh ,4315,2610,433,1800, - ,50,1645, - ," Aurora Black Pearl, Clear White, Glacier White Pearl, Gravity Gray, Gravity Grey, Intelligency Blue, Intense Red, Orange/White	, Punchy Orange, Red / Black	, Silver/Orange	, Steel Silver, White Pearl / Black, White Pearl/Orange	 ",5,1497, 114 BHP@6300 RPM,144 NM @4500 RPM,34,170km/h
Kia Carnival,"42,410",24.95 Lakh,14 kmpl ,1950 cc ,Automatic ,Diesel ,₹ 24.95 - 33.95 Lakh ,5115,3060,540,1985, - ,60,1740, - ," Aurora Black Pearl, Glacier White Pearl, Steel Silver ",7,1950, 198 BHP@3800 RPM,440 NM @1750 RPM,8,190 km/h
Hyundai Santro,"6,638",4.67 Lakh,20 - 30 kmpl ,1086 cc ,"Manual, Automatic ","Petrol, CNG ",₹ 4.67 - 6.35 Lakh ,3610,2400, - ,1645, - ,35,1560, - ," Alpha Blue, Fiery Red, Imperial Beige, Marina Blue, Polar White, Typhoon Silver ",5,1086, 68 BHP@5500 RPM,99 NM @4500 RPM,12,156 km/h
Hyundai Grand i10 Nios,"8,829",5.19 Lakh,19 - 25 kmpl ,998 to 1197 cc ,"Manual, Automatic ","Petrol, CNG, Diesel ",₹ 5.19 - 8.41 Lakh ,3805,2450, - ,1680, - ,37,1520, - ," Aqua Teal, AquaTeal/Black, Fiery Red, Fiery Red / Black, Polar White, PolarWhite/ Black, Titan Grey, Typhoon Silver ",5,1197, 82 BHP@6000 RPM,114 NM @4000 RPM,17,160 km/h
Hyundai Aura,"10,068",5.92 Lakh,20 - 25 kmpl ,998 to 1197 cc ,"Manual, Automatic ","Petrol, CNG, Diesel ",₹ 5.92 - 9.32 Lakh ,3995,2450,402,1680, - ,43,1520,165," Alpha Blue, Fiery Red, Polar White, Titan Grey, Typhoon Silver, Vintage Brown ",5,1197, 81 BHP@6000 RPM,114 NM @4000 RPM,12,155 km/h
Hyundai i20,"11,557",6.8 Lakh,19 - 25 kmpl ,998 to 1493 cc ,"Manual, Automatic, Semi - Automatic ","Petrol, Diesel ",₹ 6.8 - 11.33 Lakh ,3995,2580,311,1775, - ,37,1505,170," Fiery Red, Fiery Red With Black Roof, Metallic Copper, Polar White, Polar White With Black Roof, Starry Night, Titan Grey, Typhoon Silver ",5,998, 118 BHP@6000 RPM,172 NM @1500 RPM,22,167 Km/h
Hyundai Venue,"11,673",6.87 Lakh,17 - 23 kmpl ,998 to 1493 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 6.87 - 11.67 Lakh ,3995,2500,350,1770,5.1,45,1590,195," Deep Forest, Denim Blue, Denim Blue / Polar White, Fiery Red, Lava Orange, Lava Orange / Phantom Black, Polar White, Polar White / Phantom Black, Titan Grey, TitanGrey/Phantom Black Roof, Typhoon Silver ",5,1197, 82 BHP@6000 RPM,114 NM @4000 RPM,32,160km/h
Hyundai Verna,"15,482",9.11 Lakh,18 - 25 kmpl ,998 to 1497 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 9.11 - 15.2 Lakh ,4440,2600,480,1729,5.2,45,1475,165," Fiery Red, Phantom Black, Polar White, Starry Night, Titan Grey	, Typhoon Silver	 ",5,1497, 113 BHP@6300 RPM,144 NM @4500 RPM,13,200 km/h
Hyundai Creta,"16,998",10 Lakh,17 - 21 kmpl ,1353 to 1497 cc ,"Automatic, Manual ","Petrol, Diesel ",₹ 10 - 17.54 Lakh ,4300,2610,433,1790, - ,50,1635, - ," Deep Forest, Galaxy Blue, Lava Orange, LavaOrangewith Phantom Black Roof, Phantom Black, Polar White, PolarWhitewith Phantom Black Roof, Red Mulberry, Titan Grey, Typhoon Silver ",5,1493, 114 BHP@4000 RPM,250 NM @1500 RPM,24,165 km/h
Hyundai Elantra,"25,720",17.83 Lakh,15 - 17 kmpl ,1493 to 1999 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 17.83 - 21.1 Lakh ,4620,2700,458,1800,5.3,50,1465,165," Fiery Red, Marina Blue, Phantom Black, Polar White, Typhoon Silver ",5,1493, 113 BHP@4000 RPM,250 NM @1500 RPM,10,210 km/h
